,tra_lr_mean,tra_reg_weight_mean,tra_sup_loss_mean,tra_reg_loss_mean,tra_sup_dice_DSC1,tra_sup_dice_DSC2,tra_sup_dice_DSC3,tra_sup_dice_DSC_mean,val_loss_mean,val_dice_DSC1,val_dice_DSC2,val_dice_DSC3,val_dice_DSC_mean
45,2.752340153864745e-05,0.0,0.032039556593323776,0.0,0.9170955419540405,0.9003754258155823,0.9435478448867798,0.9203396042188009,0.27328049935973614,0.4271697700023651,0.7109244465827942,0.834598183631897,0.6575641334056854
46,2.6873301859347097e-05,0.0,0.029843471221004923,0.0,0.9150395393371582,0.9049106240272522,0.9485065340995789,0.9228188991546631,0.1501482215065223,0.6322277188301086,0.7590714693069458,0.8491372466087341,0.7468121449152628
47,2.6214889037780206e-05,0.0,0.02823000169048707,0.0,0.9239124059677124,0.9058040976524353,0.9474529027938843,0.925723135471344,0.22311150483213937,0.5279133319854736,0.7238287329673767,0.8638005256652832,0.7051808635393778
48,2.5548965248549136e-05,0.0,0.03073638585706553,0.0,0.9134355783462524,0.9032305479049683,0.9466750025749207,0.9211137096087137,0.17331296004928073,0.6177944540977478,0.7388337254524231,0.8173125386238098,0.7246469060579935
49,2.4876341817213376e-05,0.0,0.02778407440831263,0.0,0.9235015511512756,0.908000648021698,0.9487093091011047,0.9267371694246928,0.3181000770284579,0.44758614897727966,0.7005829811096191,0.8346585631370544,0.6609425644079844
50,2.4197838231814305e-05,0.0,0.026747702568148582,0.0,0.9216065406799316,0.9084450006484985,0.949344277381897,0.9264652729034424,0.16779010470670003,0.6135056018829346,0.7437026500701904,0.8578636050224304,0.7383572856585184
51,2.3514281144455266e-05,0.0,0.027196291902412982,0.0,0.9249073266983032,0.9084495306015015,0.9481722712516785,0.9271763761838278,0.2066524904221296,0.49456146359443665,0.7206442356109619,0.8308328986167908,0.6820128659407297
52,2.2826503364153312e-05,0.0,0.025465995545188597,0.0,0.9282459020614624,0.9109976887702942,0.9520952701568604,0.9304462869962057,0.37006306390349686,0.35170260071754456,0.7374339699745178,0.8645703792572021,0.6512356499830881
53,2.213534284218969e-05,0.0,0.024579930892214174,0.0,0.9300428628921509,0.9121674299240112,0.9526570439338684,0.9316224455833435,0.21647428921782053,0.5090731382369995,0.752312421798706,0.8257769346237183,0.6957208315531412
54,2.1441641651195305e-05,0.0,0.02389415845274926,0.0,0.9285694360733032,0.9144948720932007,0.9536305069923401,0.932231605052948,0.17857863324192852,0.5863626599311829,0.7401408553123474,0.8067454099655151,0.7110829750696818
55,2.07462449592149e-05,0.0,0.024539334603274884,0.0,0.9284263253211975,0.9137028455734253,0.9516388177871704,0.9312559962272644,0.15348098111840397,0.5757588148117065,0.742969810962677,0.8655267953872681,0.7280851403872172
56,2.0050000000000003e-05,0.0,0.023091061956559633,0.0,0.9321876168251038,0.9147111177444458,0.9534138441085815,0.9334375262260437,0.17870959797157693,0.5433183908462524,0.7414528131484985,0.8009387254714966,0.6952366431554159
57,1.9353755040785115e-05,0.0,0.02470411410555244,0.0,0.9312883615493774,0.9127756357192993,0.9504321217536926,0.9314987063407898,0.12860899060391462,0.6157968640327454,0.7584382891654968,0.8657330274581909,0.746656060218811
58,1.8658358348804704e-05,0.0,0.022957737417891626,0.0,0.9336745142936707,0.9149332642555237,0.9524582028388977,0.9336886604626974,0.2444007789286283,0.44280436635017395,0.7258983254432678,0.7926003932952881,0.6537676950295767
59,1.796465715781032e-05,0.0,0.022888073294113083,0.0,0.9325994253158569,0.9159190058708191,0.9531384706497192,0.9338856339454651,0.15795343426557687,0.5590150952339172,0.7587376832962036,0.8391231894493103,0.7189586559931437
60,1.7273496635846697e-05,0.0,0.0225264297115306,0.0,0.9328737258911133,0.9162119030952454,0.9534218907356262,0.9341691732406616,0.15671002134107626,0.5658088326454163,0.7581487894058228,0.8262887001037598,0.7167487740516663
61,1.6585718855544743e-05,0.0,0.02185856531063716,0.0,0.933125913143158,0.9177469611167908,0.9556873440742493,0.935520072778066,0.17014436065577543,0.569681704044342,0.7606415748596191,0.8120303153991699,0.7141178647677103
62,1.5902161768185708e-05,0.0,0.02250886055640877,0.0,0.9336267709732056,0.9163478016853333,0.9543471932411194,0.9347739219665527,0.24364898525751552,0.43905380368232727,0.7561440467834473,0.7988130450248718,0.6646702984968821
63,1.5223658182786632e-05,0.0,0.020799734254057206,0.0,0.9365343451499939,0.9192684292793274,0.9553831815719604,0.9370619853337606,0.17712917909599268,0.5189833641052246,0.7605419158935547,0.803735077381134,0.6944201191266378
64,1.4551034751450873e-05,0.0,0.02038202386038999,0.0,0.9368961453437805,0.9202913045883179,0.9565718173980713,0.9379197557767233,0.18214145460380954,0.5347825884819031,0.7489177584648132,0.7762675881385803,0.6866559783617655
65,1.3885110962219805e-05,0.0,0.020515082078054546,0.0,0.9383053183555603,0.9204612374305725,0.9565328359603882,0.9384331305821737,0.12459359819499345,0.6213793158531189,0.7773962020874023,0.8461375832557678,0.7483043670654297
66,1.3226698140652914e-05,0.0,0.021421825131401413,0.0,0.9349300861358643,0.9190903902053833,0.9557233452796936,0.9365812738736471,0.1490510851144791,0.5733173489570618,0.7682804465293884,0.8471524715423584,0.7295834223429362
67,1.2576598461352557e-05,0.0,0.021186663893361872,0.0,0.9391383528709412,0.9193431735038757,0.9553998708724976,0.9379604657491049,0.19323557314391318,0.5275214314460754,0.691161572933197,0.7811534404754639,0.6666121482849121
68,1.1935603970637792e-05,0.0,0.019906110207860667,0.0,0.9396535754203796,0.9220063090324402,0.9570097923278809,0.9395565589269003,0.2205984798761515,0.47671210765838623,0.7442656755447388,0.7610991597175598,0.6606923143068949
69,1.1304495621557906e-05,0.0,0.02046304426155983,0.0,0.9354957938194275,0.921845555305481,0.9567492604255676,0.9380302031834921,0.15261560191328707,0.5809261202812195,0.7675772905349731,0.8546268939971924,0.7343767682711283
70,1.0684042322421487e-05,0.0,0.01983404964519044,0.0,0.9378719925880432,0.9221369028091431,0.9574639201164246,0.9391576051712036,0.17490002899788895,0.5270317792892456,0.7435609102249146,0.8132933974266052,0.6946286956469218
71,1.0075000000000008e-05,0.0,0.019611619214216863,0.0,0.9388217329978943,0.9231390953063965,0.9576501846313477,0.9398703376452128,0.15747434287690198,0.5691303610801697,0.749691903591156,0.8108027577400208,0.7098750074704488
