,pretrain_lr_mean,pretrain_reg_loss_mean,pretrain_mi_mean,pretrain_individual_mis_Conv5,pretrain_individual_mis_Up_conv2,pretrain_individual_mis_Up_conv3,pretrain_uda_mean,pretrain_iic_weight_mean,pretrain_uda_weight_mean
0,1e-06,0.0006843713104414431,0.003307536252153416,0.0008825412121526218,0.005726091496956848,0.0033139757548148446,0.003991907562594862,1.0,1.0
1,3.09e-05,-0.13543573292127506,0.13602784724285208,0.2957720349232354,0.025145544751236818,0.08716595034968729,0.0005921145382065638,1.0,1.0
2,6.0799999999999994e-05,-0.3027896899978318,0.3030529299875101,0.6268172781666124,0.06269931624333067,0.21964217255512875,0.00026324018930608896,1.0,1.0
3,9.07e-05,-0.4700436166922252,0.4702988589803375,0.8019072596232092,0.1852920940270026,0.4236971778670949,0.00025524217106673557,1.0,1.0
4,0.00012059999999999999,-0.7373912831147509,0.7376818293333054,0.9600294274091721,0.4973604245980577,0.7556555682420729,0.00029054701813341414,1.0,1.0
5,0.0001505,-0.9702679727474849,0.9706212494770688,1.1193140776952113,0.8624991218249005,0.9300504700342815,0.0003532766813198881,1.0,1.0
6,0.0001804,-1.1069653075933457,1.107361202239989,1.2679387009143817,1.0740250756343208,0.980119730234146,0.00039589322565007016,1.0,1.0
7,0.0002103,-1.1877705550193793,1.1881171290079744,1.3804045804341623,1.1786577383677168,1.0052889655033739,0.00034657514445522497,1.0,1.0
8,0.00024019999999999998,-1.2621711254119874,1.2624822405974074,1.4673696482181542,1.2308150426546727,1.089261910518012,0.00031111423695013717,1.0,1.0
9,0.0002701,-1.3538883113861078,1.3542450118064877,1.553357281684876,1.2565939748287203,1.2527836565176649,0.0003567001944126481,1.0,1.0
10,0.0003,-1.4279636438687646,1.4282329773902898,1.6239468995730075,1.2741185605525973,1.3866333436965936,0.00026933419755854025,1.0,1.0
11,0.0003,-1.5049735248088834,1.5052908229827888,1.69146118760109,1.3303440256913506,1.494067089557647,0.00031729509830862946,1.0,1.0
12,0.0002999086545115134,-1.5649178842703497,1.5651807975769034,1.7622015035152439,1.4017404576142634,1.5316002555688222,0.00026291343778818074,1.0,1.0
13,0.0002996347293364606,-1.6232450294494623,1.6234744914372767,1.824005589087804,1.4320751150449127,1.6143425965309142,0.00022946242090256418,1.0,1.0
14,0.00029917855821047257,-1.71357525229454,1.7138148419062291,1.8658985916773483,1.5522432605425518,1.723302516539893,0.00023959128246739655,1.0,1.0
15,0.0002985406969077985,-1.7824869430065158,1.7827984464168558,1.9056731780370075,1.6889979934692383,1.7537240159511576,0.00031150475857430156,1.0,1.0
16,0.0002977219225641806,-1.8259963834285733,1.8262577052911129,1.9537855633099874,1.715759564240774,1.809227821429571,0.0002613218982393544,1.0,1.0
17,0.0002967232327300342,-1.875873580773673,1.8761381717522945,1.9991537312666576,1.7272942781448366,1.9019663461049388,0.00026459196880750834,1.0,1.0
18,0.00029554584415508565,-1.9147787320613865,1.9150943871339168,2.030858927567801,1.7373557639122015,1.9770682994524638,0.0003156513470457865,1.0,1.0
19,0.0002941911913059509,-1.936289407412212,1.9366014687220254,2.042145632108052,1.751553140481313,2.016105455954869,0.00031205952046245027,1.0,1.0
20,0.0002926609246184583,-1.9832778644561762,1.9836387387911483,2.092767655452092,1.8273760314782461,2.030772341887157,0.00036087781700189215,1.0,1.0
21,0.00029095690848684693,-2.0028797733783734,2.003180896043777,2.121772794326145,1.8488167019685118,2.038953017393747,0.0003011246965616009,1.0,1.0
22,0.00028908121899228975,-2.019311233758927,2.019638231595357,2.1447498349348706,1.8768388430277503,2.037325841585796,0.0003269948704109994,1.0,1.0
23,0.00028703614137350796,-2.0540501538912457,2.054322170416514,2.1606128080685942,1.9321218216419211,2.0702317015329985,0.0002720134446038479,1.0,1.0
24,0.00028482416724256006,-2.0882002774874358,2.0885037434101115,2.1850160988171896,1.9501692994435635,2.1303256479899098,0.0003034635185031221,1.0,1.0
25,0.00028244799154919606,-2.1157931756973274,2.11607483704885,2.1962721248467747,1.98004715482394,2.171905038356782,0.000281663014611695,1.0,1.0
26,0.00027991050929747656,-2.134727863073349,2.1350146408875776,2.211196489334106,2.0060611852010104,2.1877860506375617,0.00028677433692791954,1.0,1.0
27,0.000277214812018656,-2.1422712953885394,2.142559410730996,2.2264499823252373,2.0090366784731533,2.1921913790702825,0.00028811263488023533,1.0,1.0
28,0.0002743641840046284,-2.148256748517355,2.1485115702946977,2.2385664685567215,2.011742063760761,2.1952259723345433,0.0002548233512789009,1.0,1.0
29,0.0002713620983065233,-2.1570983084042883,2.1573768877983084,2.2689158725738507,2.0111925180753065,2.1920220748583468,0.00027858314177137795,1.0,1.0
30,0.0002682122125033279,-2.1696137229601553,2.169867411454518,2.2675462897618606,2.0262185839811937,2.21583716313044,0.00025368587506818596,1.0,1.0
31,0.0002649183642456907,-2.1950069395701113,2.1952924823760998,2.290283837318423,2.0611014803250645,2.2344919268290204,0.00028553565168598047,1.0,1.0
32,0.0002614845665803352,-2.2011416586240125,2.2014168302218136,2.297777603467306,2.0711172103881834,2.235355531374613,0.0002751737024664179,1.0,1.0
33,0.0002579150030607807,-2.204647355079653,2.2049156133333834,2.302088121573133,2.0737586442629485,2.238899881839756,0.00026826215464097924,1.0,1.0
34,0.0002542140226503266,-2.2240131815274546,2.2242594846089685,2.3183204499880468,2.0954278000195816,2.25903000275294,0.00024629854820280655,1.0,1.0
35,0.00025038613442351075,-2.2373694197336826,2.2376808595657343,2.32359185218811,2.093054700692493,2.29639581600825,0.0003114445207999478,1.0,1.0
