,tra_lr_mean,tra_sup_loss_mean,tra_sup_dice_DSC1,tra_sup_dice_DSC2,tra_sup_dice_DSC3,tra_sup_dice_DSC_mean,val_loss_mean,val_dice_DSC1,val_dice_DSC2,val_dice_DSC3,val_dice_DSC_mean
69,5.688207089448678e-06,0.03348298900450268,0.9510921835899353,0.9465318918228149,0.9596986770629883,0.9524409174919128,0.10270146810664584,0.7725657224655151,0.761443018913269,0.8887366652488708,0.8075818022092184
70,5.378757950280389e-06,0.032732712676127755,0.9528806805610657,0.9470509886741638,0.9603227972984314,0.9534181555112203,0.09839189124221985,0.7788719534873962,0.771826982498169,0.8935449123382568,0.814747949441274
71,5.075000000000002e-06,0.032620363570749766,0.9492546319961548,0.9462990164756775,0.9594544768333435,0.9516693751017252,0.09688758835769616,0.7828519344329834,0.7737933993339539,0.8968669772148132,0.8178374369939169
72,4.7773033208796125e-06,0.031718802216152385,0.9515763521194458,0.9474479556083679,0.9604616165161133,0.9531619747479757,0.09850030979857995,0.7674493193626404,0.7771332263946533,0.8942500948905945,0.812944213549296
73,4.486030610466071e-06,0.03140447062750652,0.9535646438598633,0.9472302794456482,0.9600667953491211,0.9536205728848776,0.09598758157629235,0.766595721244812,0.7800154685974121,0.89735347032547,0.8146548867225647
74,4.201536739689894e-06,0.030814081517358625,0.9533123970031738,0.9477472305297852,0.9606353044509888,0.9538983106613159,0.09799189922901301,0.7753451466560364,0.7722241878509521,0.8928214311599731,0.8134635885556539
75,3.9241683205097e-06,0.030305679750939202,0.952161431312561,0.9477956891059875,0.9604786038398743,0.9534785747528076,0.09568540107172269,0.7789442539215088,0.7731397747993469,0.8948677778244019,0.8156506021817526
76,3.6542632836189335e-06,0.029950368522355962,0.9528229832649231,0.9481828808784485,0.9607858061790466,0.9539305567741394,0.09322858358231875,0.7779151201248169,0.7781365513801575,0.9025787711143494,0.8195434808731079
77,3.392150466729361e-06,0.02965376182148854,0.9522053003311157,0.9479698538780212,0.9613301157951355,0.9538350900014242,0.09296231315686153,0.7804513573646545,0.7802716493606567,0.8992472887039185,0.8199900984764099
78,3.13814921393298e-06,0.029403635139266634,0.9542633891105652,0.9479996562004089,0.9611369967460632,0.9544666806856791,0.09659600200561376,0.7744423151016235,0.7735973000526428,0.8943043351173401,0.8141146500905355
79,2.892568986630421e-06,0.0293208784237504,0.953281044960022,0.9477396011352539,0.960921585559845,0.9539807438850403,0.0957908292229359,0.7737376689910889,0.774962842464447,0.8948509693145752,0.8145171602567037
