,pretrain_lr_mean,pretrain_reg_loss_mean,pretrain_mi_mean,pretrain_individual_mis_Conv5,pretrain_individual_mis_Up_conv2,pretrain_individual_mis_Up_conv3
14,0.00029917855821047257,1.163466807603836,-1.163466807603836,-3.4696967999140433,-0.010900803410137702,-0.009802685813046991
15,0.0002985406969077985,1.1498622214794152,-1.1498622214794152,-3.429521125952403,-0.010397730390541267,-0.00966769575762252
16,0.0002977219225641806,1.134713078935941,-1.134713078935941,-3.384288823604584,-0.01026953244271378,-0.009580758806938922
17,0.0002967232327300342,1.1291436970233912,-1.1291436970233912,-3.369094726244609,-0.009385423717709876,-0.008950816161620129
18,0.00029554584415508565,1.1203189039230343,-1.1203189039230343,-3.34420347849528,-0.00824544838784884,-0.008507653737130274
19,0.0002941911913059509,1.1063571846485138,-1.1063571846485138,-3.302194766203561,-0.008652435132923223,-0.008224239239158736
20,0.0002926609246184583,1.1031724925835915,-1.1031724925835915,-3.2935188031196594,-0.008214354837934174,-0.007784224601152042
21,0.00029095690848684693,1.0952201338609056,-1.0952201338609056,-3.269853714307147,-0.007824338818900288,-0.007982224570587278
22,0.00028908121899228975,1.0862274469931918,-1.0862274469931918,-3.2433913993835453,-0.0077739974437281475,-0.007516838156928622
23,0.00028703614137350796,1.0849568363030753,-1.0849568363030753,-3.2402690370877556,-0.007381735875581703,-0.007219615904614326
24,0.00028482416724256006,1.0760175327459982,-1.0760175327459982,-3.2138417530059824,-0.007086022690248984,-0.007124715354293588
25,0.00028244799154919606,1.072175991137823,-1.072175991137823,-3.203509137630461,-0.006519927689805629,-0.006498777146916835
26,0.00027991050929747656,1.070375478863717,-1.070375478863717,-3.196458062330883,-0.007009945247167104,-0.0076583097968250516
27,0.000277214812018656,1.059341995120048,-1.059341995120048,-3.165210661093393,-0.0062474617199040966,-0.006567746479219446
28,0.0002743641840046284,1.055508783857029,-1.055508783857029,-3.1545383381843553,-0.005934566437111545,-0.006053348770365116
29,0.0002713620983065233,1.0513174849748612,-1.0513174849748612,-3.139155027071633,-0.007332223155535757,-0.007465088064782323
30,0.0002682122125033279,1.0489265310764322,-1.0489265310764322,-3.133864476680755,-0.00641998515774807,-0.006495031875868637
31,0.0002649183642456907,1.0391169297695164,-1.0391169297695164,-3.104701454639436,-0.006406134226514645,-0.0062430992986386045
32,0.0002614845665803352,1.0301985096931456,-1.0301985096931456,-3.0790951911608384,-0.005815562419593333,-0.005684665003791453
33,0.0002579150030607807,1.0346319939692812,-1.0346319939692812,-3.092408963839211,-0.0059019723185338045,-0.005584937953390183
34,0.0002542140226503266,1.0229784915844593,-1.0229784915844593,-3.0572376879056304,-0.005896763830290489,-0.005800928565828745
35,0.00025038613442351075,1.0217186848322553,-1.0217186848322553,-3.0529853463172913,-0.006048241578973831,-0.006122368632350117
36,0.0002464360020724965,1.0150928920507434,-1.0150928920507434,-3.0340494338671378,-0.005607007415189096,-0.005622136641759428
37,0.0002423684382250824,1.0128066790103907,-1.0128066790103907,-3.0282837120691934,-0.005147676784545187,-0.004988551151473078
38,0.00023818839858125631,1.0145088223616283,-1.0145088223616283,-3.0329887994130447,-0.005149049756582821,-0.005388529947182785
39,0.00023390097587543845,1.0154204432169598,-1.0154204432169598,-3.035475606918335,-0.0054674165377703796,-0.0053182244339647425
40,0.00022951139367176904,1.005248645544053,-1.005248645544053,-3.0056131196022013,-0.0050835477195990564,-0.005049179848283534
41,0.00022502499999999998,0.9971789151430143,-0.9971789151430143,-2.981107188860576,-0.005314610771213966,-0.005114865258801726
42,0.00022044726083974428,0.9974052101373673,-0.9974052101373673,-2.982330357233683,-0.00513884266683211,-0.0047463565692305535
43,0.0002157837534610221,0.9936067966620126,-0.9936067966620126,-2.971658417383831,-0.004617778695343687,-0.004544110198815662
44,0.0002110401596292162,0.987054994901021,-0.987054994901021,-2.9508197951316864,-0.005124646348413081,-0.005220469587948175
45,0.00020622225868271595,0.9883567527929941,-0.9883567527929941,-2.9550059088071188,-0.00514201210578904,-0.004922259082862485
46,0.00020133592049168398,0.978308853507042,-0.978308853507042,-2.925390560626983,-0.004826926672055073,-0.004708989981251458
47,0.0001963870983065233,0.9823077968756366,-0.9823077968756366,-2.9367405478159583,-0.005102611992042508,-0.005080154673196373
