,tra_lr_mean,tra_reg_weight_mean,tra_sup_loss_mean,tra_sup_dice_DSC1,tra_sup_dice_DSC2,tra_sup_dice_DSC3,tra_sup_dice_DSC_mean,val_loss_mean,val_dice_DSC1,val_dice_DSC2,val_dice_DSC3,val_dice_DSC_mean
0,1e-07,,2.2099944289525353,0.04723891615867615,0.0790419802069664,0.028683790937066078,0.05165489576756954,2.2714614501366244,0.08233211189508438,0.04203874617815018,0.007289998698979616,0.04388695225740472
1,4.09e-06,,1.9499417559305805,0.049896713346242905,0.07600033283233643,0.04015151038765907,0.0553495188554128,1.7168880976163425,0.0784301608800888,0.040151726454496384,0.06163730472326279,0.06007306401928266
2,8.079999999999999e-06,,1.5251064833005281,0.05451921746134758,0.08174650371074677,0.08434908092021942,0.07353826736410458,1.432411844913776,0.0791303738951683,0.05157668888568878,0.15179674327373505,0.09416793535153072
3,1.207e-05,,1.2439486650625866,0.0629214197397232,0.09022189676761627,0.08601901680231094,0.07972077776988347,1.0994898906120887,0.09842949360609055,0.04948800429701805,0.18326734006404877,0.11039494598905246
4,1.606e-05,,1.0132416158914574,0.07313434779644012,0.09103263914585114,0.06498085707426071,0.07638261467218399,0.8497456495578471,0.14916521310806274,0.03670094162225723,0.007485366892069578,0.06445050720746319
5,2.005e-05,,0.8136521532138188,0.09877252578735352,0.035981692373752594,0.026948753744363785,0.05390099063515663,0.72209616120045,0.16598032414913177,0.00044600226101465523,7.85782394814305e-05,0.055501634883209285
6,2.404e-05,,0.6628495744864145,0.05421067774295807,0.002655685180798173,0.019645676016807556,0.025504012980187934,0.5703982298190777,0.00441609276458621,9.32966412459102e-11,0.00012526250793598592,0.0015137851219396124
7,2.803e-05,,0.5592634636163709,0.008146490901708603,8.278497261926532e-05,0.0047690607607364655,0.004332778878354778,0.4794654467931161,4.937308040098287e-05,9.3301276427038e-11,1.1553175083278688e-10,1.6457763078003378e-05
8,3.2019999999999995e-05,,0.4906820634007452,0.0006657638004980981,4.0672861359780654e-05,0.006521674804389477,0.0024093704887491185,0.4280485533750974,0.0003822835278697312,9.3301276427038e-11,1.1554824458359647e-10,0.00012742791223975072
9,3.601e-05,,0.4441488716999688,0.00024486577603966,8.630285037725116e-07,0.007809218484908342,0.0026849824298172584,0.38588072302249765,1.1094213048234991e-10,9.3301276427038e-11,1.1522210269232502e-10,1.0648850320057098e-10
10,3.9999999999999996e-05,,0.40723751544952386,0.00028767212643288076,8.915347962101805e-07,0.021741900593042374,0.007343488084757155,0.3543003774606264,1.1096278063060794e-10,9.3301276427038e-11,0.00032595591619610786,0.00010865204015338831
11,3.9999999999999996e-05,,0.3756882970531784,0.00013145222328603268,8.409969450440258e-05,0.085265152156353,0.028493568024714477,0.33630743336219054,1.1095784707704226e-10,9.3301276427038e-11,0.09664314985275269,0.03221438335233727
12,3.998784699903096e-05,,0.35444090376297627,0.0007984181283973157,0.0010062850778922439,0.12355217337608337,0.04178562552745765,0.318852291084253,1.109664374276953e-10,9.3301276427038e-11,0.09275457262992859,0.0309181909447321
