,tra_lr_mean,tra_reg_weight_mean,tra_sup_loss_mean,tra_sup_dice_DSC1,tra_sup_dice_DSC2,tra_sup_dice_DSC3,tra_sup_dice_DSC_mean,val_loss_mean,val_dice_DSC1,val_dice_DSC2,val_dice_DSC3,val_dice_DSC_mean
65,1.3885110962219805e-05,,0.09428554974496373,0.7099623680114746,0.7614343166351318,0.8593268990516663,0.7769078612327576,0.12797518375401315,0.575503945350647,0.6485511064529419,0.708503007888794,0.6441860198974609
66,1.3226698140652914e-05,,0.09139253790179883,0.7230360507965088,0.7661277055740356,0.8577902317047119,0.7823179960250854,0.12914431381684083,0.5744121074676514,0.6463161110877991,0.6984337568283081,0.6397206584612528
67,1.2576598461352557e-05,,0.08998782886813092,0.7170692086219788,0.7729752063751221,0.8667564392089844,0.7856002847353617,0.1305174702921739,0.5935702323913574,0.6566997766494751,0.6771773099899292,0.6424824396769205
68,1.1935603970637792e-05,,0.09098515075941885,0.7184001207351685,0.7692060470581055,0.8636161684989929,0.783740778764089,0.12124480120837687,0.5876768231391907,0.6604329943656921,0.7163875102996826,0.6548324426015218
69,1.1304495621557906e-05,,0.0893033210063974,0.7341814637184143,0.7728974223136902,0.8698158860206604,0.7922982573509216,0.12350152561870906,0.5822105407714844,0.65317302942276,0.7120421528816223,0.6491419076919556
70,1.0684042322421487e-05,,0.08992790823181467,0.7129936218261719,0.7694199085235596,0.8632165193557739,0.7818766832351685,0.13798238007495034,0.558378279209137,0.6647499203681946,0.7056235074996948,0.6429172356923422
71,1.0075000000000008e-05,,0.08823003670821587,0.735791027545929,0.7745229005813599,0.8649181723594666,0.7917440334955851,0.12818388082087037,0.5948826670646667,0.6597773432731628,0.7044159173965454,0.6530253092447916
72,9.478110678547568e-06,,0.08530747688064971,0.7381080389022827,0.7766374349594116,0.8755544424057007,0.7967666387557983,0.11584432208194184,0.5931013226509094,0.6837137341499329,0.7546576857566833,0.6771575808525085
73,8.894101575758607e-06,,0.08624827700356638,0.7288086414337158,0.7731640934944153,0.8638518452644348,0.788608193397522,0.11705196892412811,0.6088425517082214,0.6718689799308777,0.7295078635215759,0.670073131720225
74,8.323684216765166e-06,,0.08414648049821453,0.7440072298049927,0.779680073261261,0.8680933713912964,0.7972602248191833,0.12210342116080797,0.5898940563201904,0.6707907915115356,0.744782567024231,0.668489138285319
75,7.767553567253121e-06,,0.08524418121824662,0.7317692637443542,0.7779456377029419,0.8708531856536865,0.7935226957003275,0.12209084142859165,0.5983123183250427,0.6547114253044128,0.7079028487205505,0.6536421974500021
76,7.226387186753542e-06,,0.08432489545394974,0.7487654089927673,0.7812727093696594,0.8706400990486145,0.800226072470347,0.11753605864942075,0.6042422652244568,0.6672343611717224,0.7393235564231873,0.6702667276064554
77,6.700844403140781e-06,,0.08481144564847148,0.7373456954956055,0.7799387574195862,0.8693235516548157,0.7955360015233358,0.128975847019599,0.5747680068016052,0.6756564378738403,0.7253681421279907,0.6585975289344788
78,6.191565509343011e-06,,0.08393932428210972,0.7516025900840759,0.7791495323181152,0.8700454831123352,0.8002658685048422,0.12272828416182446,0.5664756298065186,0.6525070667266846,0.7400559782981873,0.6530128916104635
79,5.699170983243911e-06,,0.08310914330184459,0.7441275715827942,0.7837140560150146,0.8741915822029114,0.8006777366002401,0.11864340491592883,0.586204469203949,0.6629078984260559,0.7482454180717468,0.6657859285672506
80,5.224260731725991e-06,,0.08293871859709423,0.7398083806037903,0.7841598987579346,0.8721243739128113,0.7986975510915121,0.12046198460918205,0.5932602882385254,0.6620317697525024,0.7355097532272339,0.6636006037394205
81,4.767413359776392e-06,,0.08008691151936852,0.7386599779129028,0.7874692678451538,0.8815786242485046,0.8025692900021871,0.12003368497467957,0.5932514071464539,0.6730714440345764,0.7317103743553162,0.6660110751787821
82,4.329185465545899e-06,,0.08020724794516959,0.7489978671073914,0.7883329391479492,0.8802085518836975,0.8058464527130127,0.11539786294675791,0.5987347364425659,0.679905354976654,0.7538362145423889,0.677492101987203
83,3.910110962219802e-06,,0.08102995863805208,0.7550524473190308,0.7874009609222412,0.8729983568191528,0.805150588353475,0.11732689807048212,0.6115279197692871,0.6702771782875061,0.7439170479774475,0.675240715344747
84,3.5107004275269215e-06,,0.08050860396275923,0.7553716897964478,0.789284348487854,0.8798389434814453,0.8081649939219157,0.11732512368605685,0.6062699556350708,0.670539379119873,0.7456387877464294,0.6741493741671244
85,3.131440481679304e-06,,0.07911191873252393,0.7504241466522217,0.7901402115821838,0.8774185180664062,0.8059942921002706,0.11508763194657287,0.6101275086402893,0.6735495924949646,0.746125340461731,0.6766008138656616
86,2.772793194500449e-06,,0.07864476246138413,0.756523609161377,0.7913337349891663,0.8812813758850098,0.8097129066785177,0.1161527418746398,0.6066338419914246,0.6822099089622498,0.7532761096954346,0.6807066202163696
87,2.435195522464412e-06,,0.07885449460397166,0.7620359063148499,0.7904708385467529,0.8798935413360596,0.8108000953992208,0.12090055873760812,0.5896956920623779,0.668804943561554,0.7484815716743469,0.6689940690994263
88,2.1190587763316186e-06,,0.0747605521107713,0.7669201493263245,0.7961930632591248,0.8856605291366577,0.816257913907369,0.12431755733604617,0.5771017670631409,0.670655369758606,0.7422674894332886,0.6633415420850118
89,1.8247681200301157e-06,,0.07842081469794109,0.7596029043197632,0.7938128709793091,0.8765548467636108,0.8099902073542277,0.11735884701976414,0.606133759021759,0.6742940545082092,0.7425050139427185,0.6743109424908956
90,1.552682101392594e-06,,0.08074823232988512,0.7600455284118652,0.7880685329437256,0.8747168779373169,0.8076103130976359,0.11837580169622713,0.5924033522605896,0.6831323504447937,0.751828134059906,0.6757879455884298
91,1.30313221532113e-06,,0.07584864785273869,0.7663532495498657,0.7956011295318604,0.8826359510421753,0.8148634433746338,0.12095353379845618,0.5936822891235352,0.6707315444946289,0.7405931949615479,0.6683356761932373
92,1.0764224999116878e-06,,0.07960737173755963,0.7479403614997864,0.7909528017044067,0.877165675163269,0.8053529461224874,0.11964691831515388,0.594073474407196,0.6672841906547546,0.7395520210266113,0.666969895362854
93,8.728291660305431e-07,,0.07851479236036539,0.7574662566184998,0.7903709411621094,0.8773851990699768,0.8084074656168619,0.12009673236081232,0.5965632200241089,0.6696658134460449,0.7419700622558594,0.6693996985753378
