,tra_lr_mean,tra_reg_weight_mean,tra_sup_loss_mean,tra_reg_loss_mean,tra_sup_dice_DSC1,tra_sup_dice_DSC2,tra_sup_dice_DSC3,tra_sup_dice_DSC_mean,tra_mi_mean,tra_individual_mis_Conv5,tra_individual_mis_Up_conv2,tra_individual_mis_Up_conv3,val_loss_mean,val_dice_DSC1,val_dice_DSC2,val_dice_DSC3,val_dice_DSC_mean
0,1e-07,0.1,1.40863516052564,-0.0028816648681337645,0.028694089502096176,0.0993947684764862,0.11024699360132217,0.07944528385996819,0.0028816648681337645,4.2427194015601794e-05,0.005371922537063555,0.003230644677144786,1.4094470097468452,0.04558698832988739,0.07588782906532288,0.1006736233830452,0.07404948025941849
1,4.09e-06,0.1,1.3680653270085654,-0.003253335695092876,0.02655809186398983,0.10519693046808243,0.1394689828157425,0.09040800171593825,0.003253335695092876,9.56205629833562e-05,0.0061633460735902165,0.0035010401128480837,1.3697744791324322,0.03002777509391308,0.0930316150188446,0.1270730346441269,0.08337747491896152
2,8.079999999999999e-06,0.1,1.2623404141267145,-0.005907351907808333,0.06170365959405899,0.09640416502952576,0.13031084835529327,0.09613955765962601,0.005907351907808333,0.0004536791856632288,0.009515907003854716,0.007752468991093336,1.265131074648637,0.0737212747335434,0.11375071853399277,0.2134218066930771,0.13363126665353775
3,1.207e-05,0.1,1.1511377274990076,-0.009013427495180314,0.14208801090717316,0.07050450891256332,0.22299984097480774,0.1451974535981814,0.009013427495180314,0.006541799532751611,0.010823812470771379,0.009674669627565883,1.1635786340786858,0.12846873700618744,0.1388733834028244,0.3968827426433563,0.2214082876841227
4,1.606e-05,0.1,1.0752282520135235,-0.02254220513549323,0.16676171123981476,0.05324997752904892,0.3514414131641388,0.19048436731100082,0.02254220513549323,0.048892361627173773,0.008643627361549687,0.010090624474299448,1.1082013753744269,0.17597544193267822,0.09932433068752289,0.4084925949573517,0.2279307891925176
5,2.005e-05,0.1,1.0041379704078024,-0.05731808081114044,0.2140583097934723,0.08063331246376038,0.45428869128227234,0.24966010451316833,0.05731808081114044,0.15063154958391053,0.00893576641567051,0.0123869223644336,1.05866339802742,0.22594979405403137,0.2867735028266907,0.3957344591617584,0.30281925201416016
6,2.404e-05,0.1,0.9385720348358155,-0.08379412849123281,0.21232497692108154,0.3635329008102417,0.47424226999282837,0.3500333825747172,0.08379412849123281,0.22518396809929986,0.009098444729267323,0.017099966395956775,1.0008958280086515,0.21310172975063324,0.4294048845767975,0.4688147306442261,0.3704404483238856
7,2.803e-05,0.1,0.8612237372001008,-0.1071662049864729,0.2234935760498047,0.5267526507377625,0.5918186902999878,0.4473549723625183,0.1071662049864729,0.28099064677643304,0.01152544665150344,0.028982512013365817,0.9888691627062284,0.3096090257167816,0.46126866340637207,0.5834370851516724,0.4514382580916087
8,3.2019999999999995e-05,0.1,0.7784987103939057,-0.12252027615904808,0.26338350772857666,0.5839489698410034,0.7111080884933472,0.5194801886876425,0.12252027615904808,0.30275186707343316,0.012999425989110022,0.05180952463919918,1.0572033776686744,0.15458481013774872,0.34874096512794495,0.5076854228973389,0.33700373272101086
9,3.601e-05,0.1,0.6886082504192982,-0.1413081253444156,0.344125896692276,0.6540741920471191,0.7727454900741577,0.590315192937851,0.1413081253444156,0.32282206737669195,0.017173159355297684,0.08392913763100895,0.9324868756991167,0.43617019057273865,0.6352927088737488,0.7219686508178711,0.5978105167547861
10,3.9999999999999996e-05,0.1,0.6016564617554349,-0.15428126494089764,0.37342268228530884,0.6888436079025269,0.784503698348999,0.6155899961789449,0.15428126494089764,0.32795797960578515,0.023841270070212587,0.11104453165084123,0.920360980125574,0.36219334602355957,0.52902752161026,0.6945463418960571,0.5285890698432922
11,3.9999999999999996e-05,0.1,0.5341601164142289,-0.17806759537508088,0.45720481872558594,0.7127578854560852,0.8150510787963867,0.6616712609926859,0.17806759537508088,0.36610299647048433,0.036889416047682345,0.13121035634229564,0.720176433141415,0.5635078549385071,0.6339762806892395,0.7649375200271606,0.6541405518849691
12,3.998784699903096e-05,0.1,0.4566662672162055,-0.19057097261150674,0.5130850672721863,0.744349479675293,0.8388800024986267,0.6987715164820353,0.19057097261150674,0.36690440000034863,0.05409722399587435,0.15071127720177185,0.650652133501493,0.5433127284049988,0.6622517704963684,0.7492982149124146,0.6516209046045939
13,3.995140280268349e-05,0.1,0.40178321753939,-0.2163119335969289,0.5628760457038879,0.7624286413192749,0.8526769876480103,0.7259938915570577,0.2163119335969289,0.3972529021215937,0.0703991614871969,0.1812837212036053,0.5633099010357491,0.6318475008010864,0.6999561190605164,0.8294046521186829,0.7204027573267618
14,3.989071181259705e-05,0.1,0.35055126403768866,-0.23541899832586435,0.6393040418624878,0.7809241414070129,0.8705508708953857,0.7635930180549622,0.23541899832586435,0.4085972807067445,0.08662246581166981,0.211037229647239,0.7676826830093678,0.39692556858062744,0.6007477045059204,0.780751645565033,0.5928083062171936
